model_id,condition,correct,n,mean_length_tokens,sd_length_tokens,median_length_tokens
M2,NUM,True,388,19.03,9.68,16.0
M2,NUM,False,112,22.98,16.57,17.5
M2,CAT,True,10,18.3,2.5,17.5
M2,CAT,False,494,15.97,8.3,14.0
M3,NUM,True,392,26.42,14.07,22.0
M3,NUM,False,79,31.67,26.27,22.0
M3,CAT,True,105,47.36,53.17,28.0
M3,CAT,False,56,40.88,46.62,25.0
M4,NUM,True,391,64.24,41.01,50.0
M4,NUM,False,125,83.88,46.6,78.0
M4,CAT,True,13,47.46,22.93,41.0
M4,CAT,False,510,67.41,35.01,69.0
M5,NUM,True,308,37.94,18.85,32.0
M5,NUM,False,214,46.09,23.03,41.5
M5,CAT,True,21,59.86,21.48,55.0
M5,CAT,False,482,26.34,31.47,11.0
M6,NUM,True,370,35.25,18.14,30.0
M6,NUM,False,147,45.43,23.3,37.0
M6,CAT,True,4,36.75,18.23,41.0
M6,CAT,False,517,24.62,28.43,12.0
M7,NUM,True,396,17.59,6.8,14.0
M7,NUM,False,128,22.85,10.54,21.0
M7,CAT,True,1,6.0,,6.0
M7,CAT,False,522,5.45,2.31,5.0
M8,NUM,True,240,451.12,153.66,436.5
M8,NUM,False,169,543.98,183.67,509.0
M8,CAT,True,18,463.0,183.42,465.5
M8,CAT,False,53,470.51,194.05,422.0
